long,lat,VESSLTERMS
-70.005125,41.517661,UNKNOWN
-70.002111,41.523689,UNKNOWN
-69.999467,42.000103,OSCEOLA
-69.999456,41.200122,SS CANONBURY
-69.999428,39.366806,BERANGER
-69.999372,36.0002,ATIK
-69.999372,36.0002,CAROLYN
-69.992633,41.522833,UNKNOWN
-69.989489,43.614806,S-21
-69.989489,43.615083,U.S.S.21
-69.984506,41.527572,UNKNOWN
-69.982783,40.808461,ANNA C PERRY
-69.981131,41.953436,WHITE SQUALL
-69.980569,41.549281,DIXIE SWORD
-69.974464,41.941769,DANIEL B. FEARING
-69.974464,41.941769,VIRGINIA
-69.962778,41.55,UNKNOWN
-69.960625,41.587447,PENDLETON
-69.957797,41.896772,CASTAGNA
-69.949461,41.883439,WIDDAH
-69.949419,38.883481,PLOW CITY
-69.946067,41.545994,UNKNOWN
-69.939456,41.373453,GREY LOCK
-69.932797,42.033436,ROSIE C
-69.925011,41.399839,UNKNOWN
-69.916103,40.100133,UNKNOWN
-69.914458,41.668278,UNKNOWN
-69.912792,41.636778,CONNECTICUT
-69.904472,41.555542,ALVA
-69.902597,41.552697,HORATIO HALL
-69.902564,41.561608,UNKNOWN
-69.874717,41.590678,ARANSAS
-69.874167,41.588333,WEST VIRGINIA
-69.867442,40.490131,ANDREA DORIA
-69.851678,41.708444,UNKNOWN
-69.844433,40.1468,UNKNOWN
-69.832797,42.050103,VINCENZO
-69.799456,41.641778,LYNNE MARC
-69.799428,39.833469,L.BEARD
-69.792764,40.028469,UNKNOWN
-69.782792,41.866775,SKIPPER
-69.777303,40.665992,VALIANT LADY
-69.774436,40.4418,UNKNOWN
-69.769083,40.640853,SKIPPER
-69.767511,41.633447,GEORGE P. HUDSON
-69.766133,42.366767,U-857
-69.749431,40.025136,UNKNOWN
-69.747783,41.336786,UNKNOWN
-69.736433,40.750286,RUSH
-69.732764,40.150136,U-550
-69.704444,40.886794,FLORENCE B
-69.691122,41.775108,MILTON
-69.685811,41.309328,UNKNOWN
-69.666094,40.183469,UNKNOWN
-69.632547,40.480597,REPUBLIC
-69.624489,43.72925,HARTWELSON
-69.616144,43.016761,STEWART SALTER
-69.616114,41.216789,PROGRESS
-69.616097,40.3918,UNKNOWN
-69.607764,40.389022,PAN PENNSYLVANIA
-69.574436,40.646797,STEPHANO
-69.526089,40.111803,UNKNOWN
-69.492058,41.014478,TEXAS TOWER 3
-69.491094,40.439022,UNKNOWN
-69.464447,41.546783,UNKNOWN
-69.457772,41.036792,ARGO MERCHANT-STERN
-69.452772,41.011792,ARGO MERCHANT-BOW
-69.449439,41.000125,UNKNOWN
-69.424539,41.003239,UNKNOWN
-69.424444,41.45845,UNKNOWN
-69.414875,40.381531,MARIE & KATHERINE
-69.407758,40.433467,UNKNOWN
-69.399489,43.700083,BOHEMIAN
-69.391108,41.45845,MISS O'FRAZIA
-69.381111,41.581783,UNKNOWN
-69.374456,42.150106,CHEROKEE
-69.374456,42.150106,PORT NICHOLSON
-69.374442,41.380119,UNKNOWN
-69.349469,42.800097,ROBERT AND RICH
-69.348225,41.468522,REGAL SWORD
-69.343867,40.325136,STRATHDENE
-69.324431,40.933461,UNKNOWN
-69.316097,40.950128,UNKNOWN
-69.316094,40.750131,OREGON
-69.315872,43.464808,CATAWANTEAK
-69.310528,40.389719,UNKNOWN
-69.30775,40.116806,UNKNOWN
-69.291106,41.300122,MISS SHIRLEY
-69.266106,41.350119,KATI D
-69.222769,41.333456,UNKNOWN
-69.219433,41.185125,UNKNOWN
-69.21785,40.272119,ADVENTURE
-69.166119,42.333436,TABORFJELL
-69.161917,40.405692,UNKNOWN
-69.116117,42.200106,YALE
-69.099422,40.700131,EMMA JOSIE
-69.082814,43.500086,LOTTIE MERCHANT
-69.077703,41.262214,UNKNOWN
-69.06615,43.896747,CAROLYN
-69.040317,44.040914,CITY OF PORTLAND
-69.016097,41.283456,B & E
-69.016094,41.200125,ST. ANTHONY
-68.999442,42.000111,WILMINGTON
-68.998092,44.093136,AMARETTO
-68.982761,41.200125,YANKEE
-68.977644,44.387408,UNKNOWN
-68.974428,41.253456,UNKNOWN
-68.966122,42.550103,DAYTONA
-68.949436,41.68345,DORIS F. AMERO
-68.946094,41.370122,UNKNOWN
-68.921003,44.251161,UNKNOWN
-68.918086,44.2548,UNKNOWN
-68.915586,44.277856,UNKNOWN
-68.908975,44.327075,UNKNOWN
-68.900856,44.438308,UNKNOWN
-68.897975,44.307328,UNKNOWN
-68.896975,44.458686,UNKNOWN
-68.896697,44.458131,UNKNOWN
-68.881333,44.126881,MICHAEL DAVID
-68.876586,44.464658,UNKNOWN
-68.867761,41.490119,UNKNOWN
-68.864478,44.589294,UNKNOWN
-68.8622222,43.883333,HARKNESS
-68.858869,41.095464,UNKNOWN
-68.857108,44.350131,UNKNOWN
-68.835858,41.163739,UNKNOWN
-68.816136,43.408422,ST. CHRISTOPHER
-68.812492,44.59385,UNKNOWN
-68.812475,44.593628,UNKNOWN
-68.799472,44.200078,ROYAL TAR
-68.799403,40.266806,MARK ANTHONY
-68.795058,44.5666,UNKNOWN
-68.783083,44.453881,SQUALL
-68.774889,44.382019,UNKNOWN
-68.73905,40.874769,EUGENE H.
-68.682756,41.400122,VALIANT
-68.682753,41.350122,MAGELLAN
-68.682742,40.687633,UNKNOWN
-68.678308,40.737506,UNKNOWN
-68.677178,40.365417,WEST POINT
-68.638364,40.718353,GROWLER
-68.627753,41.316792,UNKNOWN
-68.582775,42.466772,LILLIAN E. KERR
-68.54775,41.358458,UNKNOWN
-68.499353,38.083508,THURSOBANK
-68.45625,40.605472,UNKNOWN
-68.442653,44.191256,UNKNOWN
-68.382758,41.966781,EAGLE
-68.332792,44.01675,CORNWALLIS
-68.302011,41.010425,UNKNOWN
-68.246083,41.841783,UNKNOWN
-68.186075,41.512622,SOLVEIG J
-68.102686,41.441656,UNKNOWN
-68.0911,42.750103,MEDFORD
-68.091058,40.800133,UNKNOWN
-68.076078,41.85845,UNKNOWN
-67.999353,39.000164,MARGOT
-67.999353,39.000164,MARY MANNING
-67.976064,41.260128,UNKNOWN
-67.916075,41.950117,PHILIP & GRACE
-67.914411,42.000117,UNKNOWN
-67.816039,40.333478,FLORA OLIVER
-67.669386,41.270131,UNKNOWN
-67.612733,41.958453,UNKNOWN
-67.586064,41.836786,I. PARKER
-67.539375,40.950136,UNKNOWN
-67.534375,40.973469,UNKNOWN
-67.517731,41.966786,UNKNOWN
-67.466033,40.633475,TERESA A
-67.449372,40.966803,MICHAEL DENSMORE
-67.446061,41.965119,UNKNOWN
-67.366058,41.966786,UNKNOWN
-67.366036,40.875136,UNKNOWN
-67.357764,44.573411,D.M.MUNRO
-67.336039,41.060133,UNKNOWN
-67.302703,41.055136,UNKNOWN
-67.299408,43.116767,SKOTTLAND
-67.237761,44.618411,EDUARDO
-67.199367,41.100133,LAURA N. GOULART
-67.179367,41.123467,UNKNOWN
-67.166047,41.750125,ALEDA MAY
-67.166047,41.750125,CRUISER
-67.166047,41.750125,EARL AND NETT
-67.166047,41.750125,KATIE PALMER
-67.166047,41.750125,MARY E. SENNET
-67.166047,41.750125,OLD TIME
-67.166047,41.750125,RELIANCE
-67.166047,41.750125,WM H STARBUCK
-67.166033,41.083469,SEINER
-67.1400556,44.879611,UNKNOWN
-67.132714,41.850122,NEWFOUNDLAND
-67.082725,42.500111,AEOLUS
-67.062592,44.926411,UNKNOWN
-67.059367,41.245133,KAMIENNA
-67.032708,41.716792,JACINTHA
-67.0327,41.350131,WILLIAM KILLIGREW
-67.011444,44.904333,UNKNOWN
-67.0045,44.899853,UNKNOWN
-66.999414,44.283417,DORNFONTEIN
-66.999317,39.000169,MARYLAND
-66.993589,44.896411,UNKNOWN
-66.986919,45.038967,UNKNOWN
-66.979422,44.801744,SCOTIA
-66.974364,41.258467,SAINT ANN
-66.974078,27.875381,LIBORIA C.
-66.9727778,44.9025,UNKNOWN
-66.966964,41.236278,ST. ANNE
-66.966028,41.166803,LERA G
-66.946661,41.497881,CARL HENRY
-66.841025,41.2418,UNKNOWN
-66.837689,41.120136,UNKNOWN
-66.832708,42.083453,BEN AND JOSEPH
-66.824356,41.170136,UNKNOWN
-66.816064,43.416764,SIDNEY B ATWOOD
-66.807692,41.288467,UNKNOWN
-66.699392,43.416767,ANITA PERRY
-66.666019,41.308467,UNKNOWN
-66.655964,41.600681,CAPTAIN DEBOLD
-66.641019,41.380133,UNKNOWN
-66.632694,41.800125,U-215
-66.627319,17.945089,UNKNOWN
-66.616942,17.973667,UNKNOWN
-66.616289,17.966914,UNKNOWN
-66.616017,41.196803,UNKNOWN
-66.557681,41.171803,UNKNOWN
-66.549353,41.475131,UNKNOWN
-66.532689,41.650128,ALEX MACOMB
-66.466017,41.4218,UNKNOWN
-66.466014,41.408467,UNKNOWN
-66.432683,41.541797,UNKNOWN
-66.432678,41.216803,UNKNOWN
-66.399389,44.300083,EMPIRE STORY
-66.399347,41.533464,UNKNOWN
-66.349344,41.378467,UNKNOWN
-66.332711,43.333436,LIVERPOOL PACKET
-66.332692,42.166789,AZORES
-66.316006,41.183472,UNKNOWN
-66.274111,43.714294,UNKNOWN
-66.260378,17.932192,UNKNOWN
-66.259333,17.931778,UNKNOWN
-66.249375,43.316769,THIRLEY
-66.231083,18.478583,ANTONIO LOPEZ
-66.182711,43.966758,UNKNOWN
-66.181119,17.897069,UNKNOWN
-66.166278,18.681325,CARIBE
-66.166028,42.616781,ROB ROY
-66.156417,18.472306,UNKNOWN
-66.139056,18.472306,UNKNOWN
-66.132942,18.471611,DUO
-66.132914,18.472972,TRANSCARIBBEAN
-66.132861,18.46925,PROCK BARGE 19
-66.132389,18.468417,CARL O
-66.132017,18.481217,UNKNOWN
-66.130611,18.4715,UNKNOWN
-66.125219,18.484647,UNKNOWN
-66.113358,18.443,IBERVILLE
-66.112056,18.442933,UNKNOWN
-66.110694,18.428447,UNKNOWN
-66.108583,18.447528,UNKNOWN
-66.103444,18.452556,UNKNOWN
-66.103331,18.452722,UNKNOWN
-66.10325,18.452611,UNKNOWN
-66.101756,18.450525,UNKNOWN
-66.092728,18.459114,UNKNOWN
-66.049386,45.216739,BEAVERHILL
-66.015975,40.233489,MATTAWIN
-65.999369,43.6001,WEST JAFFREY
-65.999322,41.000142,ALEX HOEGH
-65.999292,39.500169,ZURICHMOOR
-65.982944,18.464667,LA PROFESORA II
-65.915992,41.233472,WEST IMBODEN
-65.832689,43.083442,ELLEN T. MARSH
-65.8,18.05.2022,WRECK
-65.765975,40.733483,DIOMED
-65.759606,18.441333,HILDA
-65.75,18.45,WRECK
-65.666022,43.433436,EMP KINGFISHER
-65.616278,18.223028,UNKNOWN
-65.600806,18.221444,LAKE ELLENDALE
-65.5994444,18.448611,WRECK
-65.492936,18.063019,UNKNOWN
-65.482683,43.416772,UNKNOWN
-65.382644,41.500139,SYDLAND
-65.187431,18.225192,WRECK
-65.085728,43.745103,UNKNOWN
-65.041389,18.313347,WIT SHOAL
-64.99355,18.326194,MISS OPPORTUNITY
-64.973256,18.303072,UNKNOWN
-64.969697,18.317947,UNKNOWN
-64.967031,18.335125,UNKNOWN
-64.962839,18.314283,UNKNOWN
-64.960114,18.32805,MARLOGO
-64.959108,18.323817,UNKNOWN
-64.958917,18.327806,UNKNOWN
-64.958325,18.327128,UNKNOWN
-64.957542,18.326253,UNKNOWN
-64.957003,18.324069,WIT CONCRETE
-64.955333,18.330714,UNKNOWN
-64.955142,18.321883,ESCAPADE
-64.9546389,18.32975,UNKNOWN
-64.9544722,18.330389,UNKNOWN
-64.953778,18.322528,UNKNOWN
-64.952922,18.333011,GATEWAY CLIPPER
-64.952222,18.323056,UNKNOWN
-64.95135,18.326375,UNKNOWN
-64.9503056,18.329167,UNKNOWN
-64.950272,18.326847,VICTORY
-64.950194,18.327011,DRAVO
-64.950053,18.326008,UNKNOWN
-64.9478,18.327797,UNKNOWN
-64.946667,18.329722,UNKNOWN
-64.940039,18.335694,UNKNOWN
-64.93975,18.335283,UNKNOWN
-64.939711,18.335075,UNKNOWN
-64.938592,18.335058,UNKNOWN
-64.938589,18.336131,UNKNOWN
-64.936375,18.311511,UNKNOWN
-64.935653,18.335744,UNKNOWN
-64.934667,18.329711,UNKNOWN
-64.934572,18.332667,UNKNOWN
-64.934256,18.330619,UNKNOWN
-64.9342533,42.9814878,KITTY BROOK
-64.933839,18.331192,UNKNOWN
-64.933231,18.330839,FRENCH KISS
-64.933147,18.330803,QUEST
-64.932936,18.330617,UNKNOWN
-64.932836,18.333578,UNKNOWN
-64.932119,18.331017,UNKNOWN
-64.931356,18.328875,UNKNOWN
-64.928556,18.325164,UNKNOWN
-64.924625,18.335083,UNKNOWN
-64.923397,18.323364,UNKNOWN
-64.919133,18.303086,UNKNOWN
-64.91885,18.3116,UNKNOWN
-64.916947,18.312439,UNKNOWN
-64.915783,18.311281,UNKNOWN
-64.915575,18.312044,UNKNOWN
-64.890128,17.712142,UNKNOWN
-64.89,17.712067,UNKNOWN
-64.865989,43.033447,U-754
-64.8536111,18.351342,UNKNOWN
-64.822922,17.673031,UNKNOWN
-64.803144,17.689864,UNKNOWN
-64.773192,18.361342,DIFFERENT DRUMMER
-64.765997,43.783436,ELEUTHERIAN
-64.759581,18.354675,UNKNOWN
-64.751253,17.783583,CUMULUS
-64.749581,18.364675,BALLY ONE
-64.749319,43.233444,EMPIRE SEAL
-64.749319,43.233444,LAKE OSWEYA
-64.746544,43.401497,OCANA
-64.740997,43.855658,CHARLOTTETOWN
-64.702919,17.754417,UNKNOWN
-64.702917,17.748306,UNKNOWN
-64.6993,42.166797,SAN JOSE
-64.698475,17.749972,UNKNOWN
-64.697864,17.749694,UNKNOWN
-64.695697,17.752417,UNKNOWN
-64.695419,17.751833,UNKNOWN
-64.669022,18.345231,UNKNOWN
-64.632625,41.833333,HERMAN FRASCH
-64.604861,17.757194,UNKNOWN
-64.449244,41.133483,EL ALMIRANTE
-64.365986,43.916769,EMPIRE SUN
-64.282628,42.650125,EXPLORER
-64.265983,43.900103,SILVER RAY
-64.216,45.113417,CHARLOTTE COM
-64.165917,40.533494,SANTA ROSA
-64.145153,44.438983,EMMA BROWN
-63.999308,44.000103,MARY QURRIE
-63.999244,40.550161,F. LELAND
-63.949306,44.133417,LUZ BLANCA
-63.810664,29.618422,KILE NO.1
-63.799261,41.850142,CYCLOPS
-63.749283,43.083453,E.NICKERSON
-63.732614,42.933456,A.G. HOLLAND
-63.732614,42.933456,G.M. HOLLETT
-63.665972,44.450097,JAMES STANLEY
-63.665953,43.33345,EBB
-63.617364,44.692039,UNKNOWN
-63.615142,44.676483,GRANDEE
-63.607642,44.675094,IMO
-63.607642,44.675094,MOUNT BLANC
-63.589025,44.407319,KOLKHOZNIK
-63.582917,44.66565,UNKNOWN
-63.560139,44.663428,UNKNOWN
-63.558194,44.648706,TRONGATE
-63.555972,44.623428,HAVANA
-63.555139,44.62565,UNKNOWN
-63.554583,44.618983,UNKNOWN
-63.549303,44.466764,ODYSSEUS
-63.541803,44.60565,UNKNOWN
-63.536803,44.599539,UNKNOWN
-63.53625,44.626206,UNKNOWN
-63.532636,44.483431,SONJA MAERSK
-63.529861,44.633706,UNKNOWN
-63.499297,44.3501,ATHELVIKING
-63.482636,44.566764,HEBRIDEAN
-63.465967,44.583428,CAMPERDOWN
-63.465967,44.583428,CLARE LILLEY
-63.457633,44.458492,BR FREEDOM
-63.440964,44.333433,OTTER
-63.432631,44.450097,M. VAN BUREN
-63.418742,44.447319,KAAPAREN
-63.415967,44.633428,GOV. CORNWALLIS
-63.415964,44.416767,CLAYOQUOT
-63.415961,44.250103,KARS
-63.415758,34.586942,CLINTONIA
-63.390964,44.541764,UNKNOWN
-63.382628,44.283433,HALMA
-63.249286,44.133439,REIGH COUNT
-63.182625,44.483433,DREDGE 2
-63.165956,44.466767,ESQUIMALT
-63.149286,44.322325,COLLAMER
-63.1326,43.333453,FOAM
-63.099283,44.300103,PONTIAC
-63.082622,44.533333,BUNDLER
-63.034567,44.677875,DAMARA
-63,44,AMPHITRITE
-41.641678,70.920894,WRECK
-41.608333,70.898056,WRECK
158.57305,58.831172,UNKNOWN
